,dt_year,dt_date,country,region,level_of_development,greenhousegas_emissione_mtco2equivalent,total_government_revenue_proportion_of_gdp_perc,fdi_inflows_millionusd,annual_growth_rate_perc,proportion_of_population_with_primary_reliance_on_clean_fuels_a,mortality_rate_perc,renewable_energy_share_on_the_total_energy_consumption,co2emissions_from_fuel_combustion_in_millions_of_tonnes,fossilfuel_subsidies_consumption_and_production_billionusd,randd_expenditure_proportionofgdp_perc,national_action_plans_as_priority_national_policies,number_of_companies_publishing_sustainability_reports,education_for_sustainable_development,enhance_policy_coherence_for_sustainable_development,land_degraded_over_total_land_area,IIASA rates of no education projections (IIASA (2015)),GDP (constant 2015 US$),"Literacy rate, adult total (% of people ages 15 and above)",Annual CO₂ emissions (zero filled),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
961,2003,2003-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.1625917,3662.17374,0.0270533,,,0.08,43.54,,0.0068027,,,,,,,,,,
962,2004,2004-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.1872031,17830.80232,0.0837947,,,0.09,39.8,,0.0072175999999999,,,,,,,,,,
963,2005,2005-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.1962348,29153.8264,0.0699144,,,0.08,42.09,,0.0077342999999999,,,,,,,,,,
964,2006,2006-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2031141,34057.83219,0.0652109999999999,,,0.07,41.63,,0.0079468,,,,,,,,,,
965,2007,2007-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2230748,41810.64725,0.0587438,,,0.1,43.74,,0.0075161,,,,,,,,,,
966,2008,2008-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.1934356,58403.47014,0.0150688,,,0.13,42.3,,0.0071996,,,,,,,,,,
967,2009,2009-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.202377,58315.38636,-0.0306162,,,0.11,44.49,,0.0077342,,,,,,,,,,
968,2010,2010-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2228632,55535.20173,0.0612874,,,0.15,41.45,,0.0074946,,,,,,,,,,
969,2011,2011-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2377636,70540.73987,0.0421242,,,0.48,44.39,,0.0072085999999999,,,,,,,,,,
970,2012,2012-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2354958999999999,96580.80678,0.0111928999999999,,,0.17,43.84,,0.0072733,,,,,,,,,,
971,2013,2013-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2145952,70179.79944,0.0249168,,,0.26,45.17,,0.0073016999999999,,,,,,,,,,
972,2014,2014-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2355256,74294.22383,0.0210143,,,0.23,46.48,,0.0074014,,,,,,,,,,
973,2015,2015-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.216697,113037.7814,0.016565,,,0.2,43.17,0.03493,0.0076183,,,,,,,,,,
974,2016,2016-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2460611,174352.8881,0.0135776,,,0.16,44.04,0.0,0.0079154999999999,,156.0,,,,,,,,
975,2017,2017-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2578793,117386.969,0.0289922,,,0.2,43.26,0.61636,0.008002,,210.0,,,,,,,,
976,2018,2018-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2379089,110684.5026,0.0193392,,,0.23,43.16,1.48317,0.008634,,236.0,,,,,,,,
977,2019,2019-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,0.2313953,104245.7103,-0.021049,,,0.23,42.63,1.86214,,,280.0,,,,,,,,
978,2020,2020-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,,73714.02734,-0.069035,,,,,0.70341,,,282.0,0.0,,,,,,,
979,2021,2021-01-01,"China, Hong Kong Special Administrative Region",Eastern and South Eastern Asia,Developing Economies,,,,,,,,,,,,,,,,,,,,
980,2002,2002-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.2008672,160.00498,0.0626999999999999,,,1.19,,,0.0007004,,,,,,,,,,
981,2003,2003-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.2311422,377.6718,0.0888846,,,2.16,,,0.0006283,,,,,,,,,,
982,2004,2004-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.2371529,412.2804,0.2356101,,,2.2,,,0.0005373,,,,,,,,,,
983,2005,2005-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.2444876,484.65689,0.0555486,,,2.0,,,0.0008809,,,,,,,,,,
984,2006,2006-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.2442885,1243.28116,0.1087810999999999,,,2.49,,,0.0008337,,,,,,,,,,
985,2007,2007-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.2897117,1735.68975,0.12046,,,3.42,,,0.0005715,,,,,,,,,,
986,2008,2008-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3316604,2304.54775,0.0123869999999999,,,4.66,,,0.0010159,,,,,,,,,,
987,2009,2009-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3288029999999999,2590.86222,-0.0087305,,,2.97,,,0.0005436,,,,,,,,,,
988,2010,2010-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3653305,852.04928,0.2237501999999999,,,5.49,,,0.0005033,,,,,,,,,,
989,2011,2011-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3985329999999999,2831.3393,0.1883176999999999,,,6.37,,,0.0004444,,,,,,,,,,
990,2012,2012-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3892875,725.59836,0.0668421,,,11.13,,,0.0004807,,,,,,,,,,
991,2013,2013-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3826001,3893.8104,0.0819539,,,16.61,,,0.0005115,,,,,,,,,,
992,2014,2014-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3726019,4586.28208,-0.041787,,,11.45,,,0.0008705,,,,,,,,,,
993,2015,2015-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3174437,3456.18514,-0.2304127,,,5.41,,0.0,0.0013553999999999,,,,,,,,,,
994,2016,2016-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.302247,1037.32517,-0.0241693999999999,,,5.38,,0.0,0.0023328,,6.0,,,,,,,,
995,2017,2017-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3187506,1958.7095,0.082601,,,3.87,,0.0,0.0017085,,6.0,,,,,,,,
996,2018,2018-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.313186,1254.42312,0.0494059,,,8.43,,0.0,0.0020152,,6.0,,,,,,,,
997,2019,2019-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.3285114999999999,2497.24156,-0.0396827,,,8.43,,0.0,,,6.0,,,,,,,,
998,2020,2020-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,0.2891535,6689.82104,-0.569064,,,,,0.0,,,6.0,0.0,,,,,,,
999,2021,2021-01-01,"China, Macao Special Administrative Region",Eastern and South Eastern Asia,Not Specified,,,,,,,,,,,,,,,,,,,,
1040,2002,2002-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.1414457999999999,2541.943,0.0095072,80.0,,28.8,52.29,,0.0013944,,,,,,,163643113472.0,,55430416.0,
1041,2003,2003-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2674963999999999,2133.698,0.0239394,81.0,,30.7,51.62,,0.0015601999999999,,,,,,,170055106560.0,,57093904.0,
1042,2004,2004-01-01,Colombia,Latin America and the Caribbean,Developing Economies,153.88477,0.1986647,1720.493,0.0385079,82.0,,29.18,51.75,,0.0015353,,,,,,,179124174848.0,92.80377960205078,54569256.0,
1043,2005,2005-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.1872585,3115.636,0.0330277999999999,82.0,0.135,29.08,52.76,,0.0015086,,,,,,5.8955684,187773648896.0,92.84866333007812,60059624.0,99.87708282470705
1044,2006,2006-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2190352,10235.0,0.0535039,83.0,,29.69,52.84,,0.001495,,,,,,,200386166784.0,92.2996826171875,62004536.0,
1045,2007,2007-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.24267,6751.0,0.0542861999999999,84.0,,30.42,53.89,,0.0018455,,,,,,,213888581632.0,92.65178680419922,60178840.0,
1046,2008,2008-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2713175,8886.0,0.0207579,85.0,,29.97,54.64,,0.0020125,,,,,,,220911484928.0,93.37818145751952,66650056.0,
1047,2009,2009-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2629395,10564.0,0.0002072,85.0,,30.91,57.29,,0.0019608,,,,,,,223429099520.0,93.24468994140624,72556720.0,
1048,2010,2010-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2681106,8035.0,0.0340253,86.0,0.111,29.75,58.58,,0.0019501,,,,,,4.809201,233471475712.0,93.37232971191406,76278424.0,99.87603759765624
1049,2011,2011-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2869403,6430.0,0.0591723999999999,87.0,,28.91,63.22,,0.0020595,,,,,,,249692831744.0,93.58052825927734,76079780.0,99.83819580078124
1050,2012,2012-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.3190764,14647.0,0.0298128,88.0,,28.9,63.02,,0.0023377999999999,,,,,,,259462397952.0,,80255280.0,99.8561782836914
1051,2013,2013-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2940476999999999,15040.0,0.0418481,88.0,,32.29,70.61,,0.0027111,,,,,,,272783179776.0,,88104664.0,99.35285949707033
1052,2014,2014-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2934765,16210.0,0.0344842,89.0,,32.38,72.48,,0.0030563,,,,,,,285055778816.0,94.18624877929688,97858140.0,97.48104095458984
1053,2015,2015-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2977466,16169.0,0.0175786,90.0,0.103,31.6,73.22,1.30557,0.0028975,,,,,7.0,3.9159933,293481742336.0,94.24504852294922,95472344.0,96.33815002441406
1054,2016,2016-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2904106,11724.0,0.0070068,91.0,,30.74,76.32,1.2717,0.0026694,,22.0,,,,,299607851008.0,94.65384674072266,98730960.0,92.74339294433594
1055,2017,2017-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.279862,13848.0,-0.0016339,91.0,,32.53,68.83,1.71967,0.0024286,,30.0,,,,,303680585728.0,,79687620.0,92.10462951660156
1056,2018,2018-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2910221,13836.69623,0.0101286,92.0,,30.72,72.43,2.2118,0.0023462,,32.0,,,,,311467933696.0,95.0925064086914,82426790.0,
1057,2019,2019-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.3154136,11535.11987,0.0188926,92.0,0.0969999999999999,30.72,74.88,1.4566,,1.0,40.0,,,,,321687584768.0,95.249267578125,96438170.0,
1058,2020,2020-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,0.2946361,14313.59045,-0.0784222,93.0,,,,0.83579,,,40.0,1.0,87.5,,3.1797911,299826446336.0,95.6363296508789,85525630.0,
1059,2021,2021-01-01,Colombia,Latin America and the Caribbean,Developing Economies,,,,,,,,,,,,,,,,,,,91703380.0,
1060,2002,2002-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,1.14591,-0.0014146,5.0,,70.31,,,,,,,,,,675660160.0,,106256.0,
1061,2003,2003-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,0.43042,-0.0030399999999999,5.0,,64.39,,,,,,,,,,689875200.0,,135568.0,
1062,2004,2004-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,0.79147,-0.004916,5.0,,63.52,,,,,,,,,,703118400.0,,146560.0,
1063,2005,2005-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,0.67135,0.0037987,5.0,0.223,65.74,,,,,,,,,38.5078095,723069760.0,,142896.0,100.0
1064,2006,2006-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,0.55864,0.0026856999999999,5.0,,61.81,,,,,,,,,,742209088.0,,164880.0,
1065,2007,2007-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,0.77773,-0.1808275,5.0,,74.36,,,,,,,,,,748147072.0,,106256.0,
1066,2008,2008-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,7.68179,0.0149547999999999,5.0,,73.44,,,,,,,,,,778072768.0,,109920.0,
1067,2009,2009-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,4.63183,0.039526,5.0,,68.53,,,,,,,,,,802971968.0,,135568.0,
1068,2010,2010-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,13.78411,0.0230294,5.0,0.213,66.39,,,,,,,,,,833484352.0,,161216.0,100.0
1069,2011,2011-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,8.34226,0.0335892,5.0,,69.35,,,,,,,,,,867655936.0,,142896.0,100.0
1070,2012,2012-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,23.08816,0.037696,5.0,,67.85,,,,,,,,,,895423296.0,49.19614028930664,153888.0,100.0
1071,2013,2013-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,10.41205,0.0633683,5.0,,62.51,,,,,,,,,,935716224.0,,183200.0,100.0
1072,2014,2014-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,4.23164,0.0144876,5.0,,66.02,,,,,,,,,,955366336.0,,161216.0,100.0
1073,2015,2015-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,4.68456,-0.0037386,6.0,0.214,64.17,,0.0,,,,,,22.0,28.2543822,966029568.0,,179536.0,100.0
1074,2016,2016-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,4.9367,0.0043316,6.0,,60.5,,0.0,,,,,,,,998108288.0,,216176.0,100.0
1075,2017,2017-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,3.56982,0.0322191,7.0,,56.42,,0.0,,1.0,,,,,,1036193152.0,,267472.0,100.0
1076,2018,2018-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,3.91947,0.0175543,7.0,,55.01,,0.00056,,,,,,,,1073936768.0,58.817020416259766,293120.0,
1077,2019,2019-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,5.67235,0.0136244,8.0,0.206,53.43,,0.00051,,,,,,,,1092787840.0,,311440.0,
1078,2020,2020-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,3.67736,0.0163084,8.0,,,,0.0,,,,0.0,,,23.9457786,1091379968.0,,282485.0,
1079,2021,2021-01-01,Comoros,Sub-Saharan Africa,Least Developed,,,,,,,,,,,,,,,,,,,298171.0,
1080,2002,2002-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,77.25373,0.0166183,10.0,,68.53,0.5,,,,,,,,,6998248960.0,,490976.0,
1081,2003,2003-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,136.77854,-0.0204842,10.0,,61.99,0.75,,,,,,,,,7055162880.0,,809744.0,
1082,2004,2004-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,323.12973,0.0051537,11.0,,63.03,0.78,,,,,,,,,7300445184.0,,857376.0,
1083,2005,2005-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,-8.48784,0.0430976,12.0,0.298,63.11,0.84,,,,,,,,,7866650112.0,76.11479187011719,996093.0,100.0
1084,2006,2006-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,585.16346,0.0935331,13.0,,69.42,1.02,,,,,,,,,8494899200.0,,1127466.0,
1085,2007,2007-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,553.58297,-0.097696,13.0,,60.34,1.1,,,,,,,,,7933047296.0,,1211198.0,
1086,2008,2008-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,1467.62869,0.0271908,15.0,,56.86,1.37,,,,,,,,,8433334784.0,,1329994.0,
1087,2009,2009-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,2031.87995,0.0803117,16.0,,56.03,1.57,,,,,,,,,9414746112.0,,1724138.0,
1088,2010,2010-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,1272.93905,0.0663002999999999,17.0,0.276,54.8,1.83,,,,,,,,,10349750272.0,,1961777.0,100.0
1089,2011,2011-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,928.43601,-0.0061067,19.0,,64.62,2.09,,,,,,,,,10578057216.0,79.31117248535156,2239828.0,100.0
1090,2012,2012-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,186.30501,0.0713509,20.0,,65.3,2.23,,,,,,,,,11630272512.0,,5019520.0,100.0
1091,2013,2013-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,-282.83519,-0.0313006,22.0,,62.47,2.54,,,,,,,,,11547414528.0,,5892292.0,100.0
1092,2014,2014-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,609.44048,0.034005,24.0,,62.23,2.64,,,,,,,,,12323017728.0,,5469574.0,100.0
1093,2015,2015-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,1659.45022,-0.0560888,25.0,0.246,64.15,3.17,0.00813,,,,,,10.0,,11885478912.0,,5662327.0,100.0
1094,2016,2016-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,3803.30013,-0.1244241,27.0,,67.61,2.98,0.0,,,,,,,,10603839488.0,,5809876.0,100.0
1095,2017,2017-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,1611.6182,-0.0705331,29.0,,69.73,2.85,0.00017,,,,,,,,10139122688.0,,5702250.0,100.0
1096,2018,2018-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,4416.95373,-0.085946,31.0,,69.34,3.06,0.00401,,,,,,,,9651902464.0,80.29875946044922,6596230.0,
1097,2019,2019-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,4315.25092,-0.0295065,33.0,0.226,68.67,3.66,0.00382,,,,,,,,9643515904.0,,7341473.0,
1098,2020,2020-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,3366.08501,-0.1045873,35.0,,,,0.0,,,,0.0,,,,8877391872.0,,7529862.0,
1099,2021,2021-01-01,Congo,Sub-Saharan Africa,Developing Economies,,,,,,,,,,,,,,,,,,,7464369.0,
1100,2002,2002-01-01,Cook Islands,Other,Not Specified,,,,0.0181085,82.0,,0.0,,,,,,,,,,,,29312.0,
1101,2003,2003-01-01,Cook Islands,Other,Not Specified,,,,0.024562,82.0,,0.0,,,,,,,,,,,,32976.0,
1102,2004,2004-01-01,Cook Islands,Other,Not Specified,,,,0.0060091,83.0,,0.0,,,,,,,,,,,,54960.0,
1103,2005,2005-01-01,Cook Islands,Other,Not Specified,,,,-0.020211,83.0,,0.0,,,,,,,,,,,,65952.0,
1104,2006,2006-01-01,Cook Islands,Other,Not Specified,,,,0.0490508,83.0,,0.0,,,,,,,,,,,,62288.0,
1105,2007,2007-01-01,Cook Islands,Other,Not Specified,,,4015.53145,0.0230208,83.0,,0.0,,,,,,,,,,,,54960.0,
1106,2008,2008-01-01,Cook Islands,Other,Not Specified,,,0.0,-0.0027875,82.0,,0.0,,,,,,,,,,,,54960.0,
1107,2009,2009-01-01,Cook Islands,Other,Not Specified,,,0.0,0.0095714,82.0,,0.0,,,,,,,,,,,,54960.0,
1108,2010,2010-01-01,Cook Islands,Other,Not Specified,,,0.0,-0.038439,81.0,,0.0,,,,,,,,,,,,65952.0,
1109,2011,2011-01-01,Cook Islands,Other,Not Specified,,,0.0,0.0191366,80.0,,0.0,,,,,,,,,,,,73280.0,
1110,2012,2012-01-01,Cook Islands,Other,Not Specified,,,0.0,0.0173951,80.0,,0.0,,,,,,,,,,,,76944.0,
1111,2013,2013-01-01,Cook Islands,Other,Not Specified,,,0.0,0.0143,80.0,,0.24,,,,,,,,,,,,76944.0,
1112,2014,2014-01-01,Cook Islands,Other,Not Specified,,,0.0,0.0624469,79.0,,0.54,,,,,,,,,,,,76944.0,
1113,2015,2015-01-01,Cook Islands,Other,Not Specified,,,0.0,0.0638117,78.0,,1.4,,,,,,,,,,,,76944.0,
1114,2016,2016-01-01,Cook Islands,Other,Not Specified,,,5.41127,0.0527718,78.0,,1.93,,,,,,,,,,,,73280.0,
1115,2017,2017-01-01,Cook Islands,Other,Not Specified,,,10.4632,0.0962695,77.0,,2.31,,,,,,,,,,,,80608.0,
1116,2018,2018-01-01,Cook Islands,Other,Not Specified,,,1.91864,0.0559721,77.0,,4.05,,,,,,,,,,,,80608.0,
1117,2019,2019-01-01,Cook Islands,Other,Not Specified,,,11.55871,0.0459683,77.0,,3.69,,,,,,,,,,,,84272.0,
1118,2020,2020-01-01,Cook Islands,Other,Not Specified,,,7.98018,-0.2543556,76.0,,,,,,,,0.0,,,,,,88942.0,
1119,2021,2021-01-01,Cook Islands,Other,Not Specified,,,,,,,,,,,,,,,,,,,91403.0,
1120,2002,2002-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2380732,608.64849,0.0173103,90.0,,32.54,5.02,,,,,,,,,32563085312.0,,6245400.0,
1121,2003,2003-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2366111,824.62617,0.0273571,90.0,,33.3,5.33,,0.0036349,,,,,,,33968891904.0,,6582545.0,
1122,2004,2004-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2311201,692.11101,0.0291447,90.0,,39.16,5.32,,0.0037452,,,,,,,35471880192.0,,6841678.0,
1123,2005,2005-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,12.11403,0.2357862,975.90765,0.025125,91.0,0.11,41.73,5.45,,,,,,,,4.7430605,36882477056.0,,6723403.0,100.0
1124,2006,2006-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2449005,1364.13391,0.0584699,91.0,,42.4,5.99,,0.0042906,,,,,,,39584743424.0,,7006724.0,
1125,2007,2007-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2498957,1702.49674,0.0676028,91.0,,41.19,6.68,,0.0035842,,,,,,,42836684800.0,,7960740.0,
1126,2008,2008-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2529569,2088.46943,0.033654,92.0,,40.7,6.68,,0.0038831,,,,,,,44866359296.0,,7989944.0,
1127,2009,2009-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2439448,2319.94118,-0.0213678,92.0,,40.72,6.37,,0.0052028,,,,,,,44474470400.0,,7747752.0,
1128,2010,2010-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2378533,1443.5697,0.0405667,92.0,0.111,40.39,6.6,,0.0048492,,,,,,4.0339435,46858457088.0,,7492647.0,100.0
1129,2011,2011-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2420987999999999,1683.54524,0.0314782,93.0,,38.02,6.88,,0.0046782,,,,,,,48921710592.0,97.40657806396484,7310815.0,100.0
1130,2012,2012-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2434005,2461.4832,0.0365403,93.0,,38.06,6.9,,0.0055606,,,,,,,51310358528.0,,7260085.0,100.0
1131,2013,2013-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2462114,2258.09003,0.0132531,94.0,,37.8,7.21,,0.0055567,,,,,,,52590432256.0,,7631517.0,100.0
1132,2014,2014-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2415154,2741.09178,0.0239149,94.0,,37.62,7.25,,0.0057209,,,,,,,54453239808.0,,7748309.0,100.0
1133,2015,2015-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2456954999999999,2926.64577,0.0253153,94.0,0.098,38.33,6.92,0.0074,0.0044993,,,,,9.0,3.4316256000000003,56441917440.0,,7406021.0,99.97998809814452
1134,2016,2016-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2472007,2751.87848,0.0310809999999999,95.0,,36.81,7.46,0.02381,0.0045645,,,,,,,58814918656.0,,8003253.0,99.7170639038086
1135,2017,2017-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2444152,2203.94838,0.0309278,95.0,,36.2,7.56,0.08234,0.0044068,,,,,,,61260267520.0,,8198038.0,99.68879699707033
1136,2018,2018-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2498157,2778.31402,0.01046,95.0,,35.7,7.64,0.13751,0.0038288,,,,,,,62862774272.0,97.8637924194336,8229478.0,
1137,2019,2019-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2575044,2336.53523,0.0119395,95.0,0.095,35.76,7.5,0.08673,,,,,,,,64281157632.0,,8053606.0,
1138,2020,2020-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,0.2497684,2748.31017,-0.0541241,95.0,,,,0.14701,,,,0.0,91.25,,2.9094391,61668978688.0,,7081741.0,
1139,2021,2021-01-01,Costa Rica,Latin America and the Caribbean,Developing Economies,,,,,,,,,,,1.0,,,,,,,,7819507.0,
1140,2002,2002-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.1129622,272.6799,-0.0382767,18.0,,65.32,6.38,,,,,,,,,,,,
1141,2003,2003-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.105099,212.58042,-0.0342243,17.0,,70.32,5.15,,,,,,,,,,,,
1142,2004,2004-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.1158694,165.39057,-0.0085754,17.0,,75.4,5.42,,,,,,,,,,,,
1143,2005,2005-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.116339,282.97983,-0.0040699,17.0,0.264,77.92,5.81,,,,,,,,,,,,
1144,2006,2006-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.1160837,311.92034,-0.0065144,17.0,,74.79,5.63,,,,,,,,,,,,
1145,2007,2007-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.1274894,318.86439,-0.0044488,17.0,,76.33,5.55,,,,,,,,,,,,
1146,2008,2008-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.1340392,426.77672,0.0027986,17.0,,74.21,6.36,,,,,,,,,,,,
1147,2009,2009-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.1361589,446.14732,0.0091673,17.0,,73.71,5.9,,,,,,,,,,,,
1148,2010,2010-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.1232299,377.12893,0.0518859,18.0,0.26,75.42,6.2,,,,,,,,,,,,
1149,2011,2011-01-01,Côte d'Ivoire,Sub-Saharan Africa,Developing Economies,,0.0914064,338.94164,-0.0127119,19.0,,79.11,5.95,,,,,,,,,,,,
